############################ Log - Start ############################
# Log initialized at: 06/12/14 15:18:57
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.340	0.000	1402579140.72	06/12/14 15:19:00
3.697	1.000	1402579141.08	06/12/14 15:19:01
4.053	2.000	1402579141.43	06/12/14 15:19:01
4.410	3.000	1402579141.79	06/12/14 15:19:01
4.767	4.000	1402579142.15	06/12/14 15:19:02
5.125	5.000	1402579142.5	06/12/14 15:19:02
5.484	6.000	1402579142.86	06/12/14 15:19:02
5.850	7.000	1402579143.23	06/12/14 15:19:03
6.209	8.000	1402579143.59	06/12/14 15:19:03
6.565	9.000	1402579143.95	06/12/14 15:19:03
6.926	10.000	1402579144.3	06/12/14 15:19:04
7.282	11.000	1402579144.66	06/12/14 15:19:04
7.640	12.000	1402579145.02	06/12/14 15:19:05
8.000	13.000	1402579145.38	06/12/14 15:19:05
8.356	14.000	1402579145.74	06/12/14 15:19:05
8.715	15.000	1402579146.08	06/12/14 15:19:06

# Log finished at: 06/12/14 15:19:06
############################# Log - End #############################
