############################ Log - Start ############################
# Log initialized at: 06/12/14 15:09:56
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.390	0.000	1402578600.3	06/12/14 15:10:00
3.751	1.000	1402578600.66	06/12/14 15:10:00
4.107	2.000	1402578601.01	06/12/14 15:10:01
4.465	3.000	1402578601.37	06/12/14 15:10:01
4.821	4.000	1402578601.73	06/12/14 15:10:01
5.178	5.000	1402578602.08	06/12/14 15:10:02
5.535	6.000	1402578602.44	06/12/14 15:10:02
5.891	7.000	1402578602.8	06/12/14 15:10:02
6.249	8.000	1402578603.15	06/12/14 15:10:03
6.606	9.000	1402578603.51	06/12/14 15:10:03
6.963	10.000	1402578603.87	06/12/14 15:10:03
7.321	11.000	1402578604.23	06/12/14 15:10:04
7.679	12.000	1402578604.58	06/12/14 15:10:04
8.035	13.000	1402578604.94	06/12/14 15:10:04
8.391	14.000	1402578605.3	06/12/14 15:10:05
8.749	15.000	1402578605.64	06/12/14 15:10:05

# Log finished at: 06/12/14 15:10:05
############################# Log - End #############################
