############################ Log - Start ############################
# Log initialized at: 06/10/14 13:46:44
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.339	0.000	1402400807.97	06/10/14 13:46:47
3.693	1.000	1402400808.33	06/10/14 13:46:48
4.047	2.000	1402400808.68	06/10/14 13:46:48
4.399	3.000	1402400809.03	06/10/14 13:46:49
4.754	4.000	1402400809.38	06/10/14 13:46:49
5.108	5.000	1402400809.74	06/10/14 13:46:49
5.461	6.000	1402400810.1	06/10/14 13:46:50
5.816	7.000	1402400810.45	06/10/14 13:46:50
6.170	8.000	1402400810.8	06/10/14 13:46:50
6.435	9.000	1402400811.07	06/10/14 13:46:51
6.790	10.000	1402400811.42	06/10/14 13:46:51
7.059	11.000	1402400811.69	06/10/14 13:46:51
7.413	12.000	1402400812.05	06/10/14 13:46:52
7.757	13.000	1402400812.39	06/10/14 13:46:52
8.026	14.000	1402400812.66	06/10/14 13:46:52
8.381	15.000	1402400813.0	06/10/14 13:46:52

# Log finished at: 06/10/14 13:46:53
############################# Log - End #############################
