############################ Log - Start ############################
# Log initialized at: 06/11/14 13:43:24
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.335	0.000	1402487008.32	06/11/14 13:43:28
3.690	1.000	1402487008.68	06/11/14 13:43:28
4.055	2.000	1402487009.04	06/11/14 13:43:29
4.410	3.000	1402487009.4	06/11/14 13:43:29
4.765	4.000	1402487009.75	06/11/14 13:43:29
5.118	5.000	1402487010.11	06/11/14 13:43:30
5.483	6.000	1402487010.47	06/11/14 13:43:30
5.842	7.000	1402487010.81	06/11/14 13:43:30
6.199	8.000	1402487011.19	06/11/14 13:43:31
6.554	9.000	1402487011.54	06/11/14 13:43:31
6.908	10.000	1402487011.9	06/11/14 13:43:31
7.265	11.000	1402487012.25	06/11/14 13:43:32
7.620	12.000	1402487012.61	06/11/14 13:43:32
7.985	13.000	1402487012.97	06/11/14 13:43:32
8.338	14.000	1402487013.32	06/11/14 13:43:33
8.693	15.000	1402487013.66	06/11/14 13:43:33

# Log finished at: 06/11/14 13:43:33
############################# Log - End #############################
