############################ Log - Start ############################
# Log initialized at: 06/10/14 13:54:39
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.336	0.000	1402401283.19	06/10/14 13:54:43
3.691	1.000	1402401283.54	06/10/14 13:54:43
4.047	2.000	1402401283.9	06/10/14 13:54:43
4.392	3.000	1402401284.24	06/10/14 13:54:44
4.747	4.000	1402401284.6	06/10/14 13:54:44
5.101	5.000	1402401284.95	06/10/14 13:54:44
5.454	6.000	1402401285.3	06/10/14 13:54:45
5.808	7.000	1402401285.66	06/10/14 13:54:45
6.161	8.000	1402401286.01	06/10/14 13:54:46
6.420	9.000	1402401286.27	06/10/14 13:54:46
6.775	10.000	1402401286.62	06/10/14 13:54:46
7.129	11.000	1402401286.98	06/10/14 13:54:46
7.483	12.000	1402401287.33	06/10/14 13:54:47
7.838	13.000	1402401287.69	06/10/14 13:54:47
8.191	14.000	1402401288.04	06/10/14 13:54:48
8.546	15.000	1402401288.38	06/10/14 13:54:48

# Log finished at: 06/10/14 13:54:48
############################# Log - End #############################
