############################ Log - Start ############################
# Log initialized at: 06/10/14 13:49:36
# motor device
Time	motor/omsvme58_exp/17	Timestamp	Datetime
4.006	0.000	1402400981.02	06/10/14 13:49:41
5.074	1.000	1402400982.08	06/10/14 13:49:42
6.225	2.000	1402400983.23	06/10/14 13:49:43
7.370	3.000	1402400984.38	06/10/14 13:49:44
8.523	4.000	1402400985.53	06/10/14 13:49:45
9.674	5.000	1402400986.68	06/10/14 13:49:46
10.831	6.000	1402400987.84	06/10/14 13:49:47
11.983	7.000	1402400988.99	06/10/14 13:49:48
13.129	8.000	1402400990.14	06/10/14 13:49:50
14.283	9.000	1402400991.29	06/10/14 13:49:51
15.433	10.000	1402400992.44	06/10/14 13:49:52
16.584	11.000	1402400993.6	06/10/14 13:49:53
17.735	12.000	1402400994.74	06/10/14 13:49:54
18.886	13.000	1402400995.89	06/10/14 13:49:55
20.038	14.000	1402400997.05	06/10/14 13:49:57
21.189	15.000	1402400998.18	06/10/14 13:49:58

# Log finished at: 06/10/14 13:49:58
############################# Log - End #############################
