############################ Log - Start ############################
# Log initialized at: 06/12/14 15:04:25
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.394	0.000	1402578268.64	06/12/14 15:04:28
3.754	1.000	1402578269.0	06/12/14 15:04:29
4.111	2.000	1402578269.36	06/12/14 15:04:29
4.469	3.000	1402578269.72	06/12/14 15:04:29
4.826	4.000	1402578270.07	06/12/14 15:04:30
5.184	5.000	1402578270.43	06/12/14 15:04:30
5.543	6.000	1402578270.79	06/12/14 15:04:30
5.903	7.000	1402578271.15	06/12/14 15:04:31
6.258	8.000	1402578271.51	06/12/14 15:04:31
6.614	9.000	1402578271.86	06/12/14 15:04:31
6.983	10.000	1402578272.23	06/12/14 15:04:32
7.342	11.000	1402578272.59	06/12/14 15:04:32
7.701	12.000	1402578272.95	06/12/14 15:04:32
8.058	13.000	1402578273.31	06/12/14 15:04:33
8.414	14.000	1402578273.66	06/12/14 15:04:33
8.772	15.000	1402578274.0	06/12/14 15:04:34

# Log finished at: 06/12/14 15:04:34
############################# Log - End #############################
