############################ Log - Start ############################
# Log initialized at: 06/11/14 13:42:50
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.388	0.000	1402486973.99	06/11/14 13:42:53
3.743	1.000	1402486974.34	06/11/14 13:42:54
4.107	2.000	1402486974.71	06/11/14 13:42:54
4.461	3.000	1402486975.06	06/11/14 13:42:55
4.816	4.000	1402486975.41	06/11/14 13:42:55
5.170	5.000	1402486975.77	06/11/14 13:42:55
5.523	6.000	1402486976.12	06/11/14 13:42:56
5.878	7.000	1402486976.48	06/11/14 13:42:56
6.232	8.000	1402486976.83	06/11/14 13:42:56
6.590	9.000	1402486977.19	06/11/14 13:42:57
6.943	10.000	1402486977.54	06/11/14 13:42:57
7.298	11.000	1402486977.9	06/11/14 13:42:57
7.661	12.000	1402486978.26	06/11/14 13:42:58
8.014	13.000	1402486978.61	06/11/14 13:42:58
8.368	14.000	1402486978.97	06/11/14 13:42:58
8.723	15.000	1402486979.3	06/11/14 13:42:59

# Log finished at: 06/11/14 13:42:59
############################# Log - End #############################
