############################ Log - Start ############################
# Log initialized at: 06/12/14 15:20:56
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.335	0.000	1402579259.83	06/12/14 15:20:59
3.691	1.000	1402579260.18	06/12/14 15:21:00
4.048	2.000	1402579260.54	06/12/14 15:21:00
4.403	3.000	1402579260.89	06/12/14 15:21:00
4.772	4.000	1402579261.25	06/12/14 15:21:01
5.147	5.000	1402579261.64	06/12/14 15:21:01
5.505	6.000	1402579262.0	06/12/14 15:21:01
5.863	7.000	1402579262.35	06/12/14 15:21:02
