

############################ Log - Start ############################
# Log initialized at: 10/21/13 16:48:19
Time	Real temperature	Average temperature	Setpoint temperature
48.226	31.400	21.703	30.000
49.264	31.200	22.082	30.000
50.359	30.900	22.452	30.000
51.398	30.500	22.628	30.000
52.487	29.900	22.967	30.000
53.598	29.400	23.288	30.000
54.630	29.000	23.597	30.000
55.765	28.600	23.892	30.000
56.845	28.100	24.168	30.000
57.939	27.700	24.433	30.000
59.016	27.600	24.692	30.000
60.047	27.500	24.820	30.000
61.125	27.600	25.077	30.000
62.167	27.900	25.335	30.000
63.258	28.800	25.625	30.000
64.317	29.700	25.940	30.000
65.360	30.200	26.108	30.000
66.516	30.900	26.460	30.000
67.549	31.200	26.825	30.000
68.623	31.200	27.188	30.000
69.721	31.000	27.547	30.000
70.761	30.700	27.897	30.000
71.803	30.500	28.245	30.000
72.882	30.200	28.413	30.000
73.917	29.800	28.733	30.000
74.997	29.500	29.033	30.000
76.036	29.200	29.293	30.000
77.136	29.000	29.490	30.000
78.176	28.900	29.603	30.000
79.219	28.800	29.627	30.000
80.367	28.700	29.620	30.000
81.478	28.500	29.557	30.000
82.519	28.400	29.465	30.000
83.644	28.400	29.365	30.000
84.704	28.700	29.283	30.000
85.772	29.400	29.232	30.000
86.812	29.800	29.227	30.000
87.843	30.400	29.240	30.000
88.941	30.900	29.292	30.000
89.973	31.100	29.363	30.000
91.129	31.200	29.455	30.000
92.168	31.100	29.560	30.000
93.268	31.000	29.615	30.000
94.322	30.700	29.720	30.000
95.404	30.400	29.820	30.000
96.454	30.200	29.908	30.000
97.546	29.900	29.968	30.000
98.754	29.700	29.993	30.000
99.796	29.600	29.992	30.000
100.867	29.300	29.958	30.000
101.972	29.200	29.902	30.000
103.013	29.200	29.833	30.000
104.088	28.900	29.762	30.000
105.120	28.900	29.693	30.000

# Log finished at: 10/21/13 16:56:50
############################ Log - End ############################

# Log finished at: 10/21/13 17:06:09
############################ Log - End ############################

############################ Log - Start ############################
