############################ Log - Start ############################
# Log initialized at: 06/12/14 15:26:04
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.334	0.000	1402579567.53	06/12/14 15:26:07
3.690	1.000	1402579567.88	06/12/14 15:26:07
4.048	2.000	1402579568.24	06/12/14 15:26:08
4.407	3.000	1402579568.6	06/12/14 15:26:08
4.764	4.000	1402579568.96	06/12/14 15:26:08
5.126	5.000	1402579569.32	06/12/14 15:26:09
5.483	6.000	1402579569.66	06/12/14 15:26:09
5.841	7.000	1402579570.01	06/12/14 15:26:10
6.198	8.000	1402579570.39	06/12/14 15:26:10
6.554	9.000	1402579570.73	06/12/14 15:26:10
6.910	10.000	1402579571.1	06/12/14 15:26:11
7.267	11.000	1402579571.46	06/12/14 15:26:11
7.622	12.000	1402579571.8	06/12/14 15:26:11
7.978	13.000	1402579572.17	06/12/14 15:26:12
8.335	14.000	1402579572.53	06/12/14 15:26:12
8.694	15.000	1402579572.85	06/12/14 15:26:12

# Log finished at: 06/12/14 15:26:12
############################# Log - End #############################
