############################ Log - Start ############################
# Log initialized at: 06/10/14 16:30:15
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.333	0.000	1402410618.73	06/10/14 16:30:18
3.684	1.000	1402410619.08	06/10/14 16:30:19
4.038	2.000	1402410619.41	06/10/14 16:30:19
4.388	3.000	1402410619.77	06/10/14 16:30:19
4.739	4.000	1402410620.12	06/10/14 16:30:20
5.090	5.000	1402410620.49	06/10/14 16:30:20
5.441	6.000	1402410620.84	06/10/14 16:30:20
5.792	7.000	1402410621.19	06/10/14 16:30:21
6.144	8.000	1402410621.52	06/10/14 16:30:21
6.494	9.000	1402410621.85	06/10/14 16:30:21
6.846	10.000	1402410622.22	06/10/14 16:30:22
7.197	11.000	1402410622.57	06/10/14 16:30:22
7.545	12.000	1402410622.95	06/10/14 16:30:22
7.896	13.000	1402410623.3	06/10/14 16:30:23
8.247	14.000	1402410623.62	06/10/14 16:30:23
8.598	15.000	1402410623.96	06/10/14 16:30:23

# Log finished at: 06/10/14 16:30:24
############################# Log - End #############################
