############################ Log - Start ############################
# Log initialized at: 06/11/14 10:08:49
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.333	0.000	1402474133.16	06/11/14 10:08:53
3.683	1.000	1402474133.51	06/11/14 10:08:53
4.035	2.000	1402474133.86	06/11/14 10:08:53
4.385	3.000	1402474134.21	06/11/14 10:08:54
4.736	4.000	1402474134.57	06/11/14 10:08:54
5.087	5.000	1402474134.92	06/11/14 10:08:54
5.439	6.000	1402474135.27	06/11/14 10:08:55
5.789	7.000	1402474135.62	06/11/14 10:08:55
6.140	8.000	1402474135.97	06/11/14 10:08:55
6.492	9.000	1402474136.32	06/11/14 10:08:56
6.841	10.000	1402474136.67	06/11/14 10:08:56
7.191	11.000	1402474137.02	06/11/14 10:08:57
7.543	12.000	1402474137.37	06/11/14 10:08:57
7.893	13.000	1402474137.72	06/11/14 10:08:57
8.243	14.000	1402474138.07	06/11/14 10:08:58
8.594	15.000	1402474138.4	06/11/14 10:08:58

# Log finished at: 06/11/14 10:08:58
############################# Log - End #############################
