############################ Log - Start ############################
# Log initialized at: 06/11/14 16:32:45
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.357	0.000	1402497168.55	06/11/14 16:32:48
3.626	1.000	1402497168.82	06/11/14 16:32:48
3.978	2.000	1402497169.13	06/11/14 16:32:49
4.344	3.000	1402497169.54	06/11/14 16:32:49
4.709	4.000	1402497169.91	06/11/14 16:32:49
5.075	5.000	1402497170.27	06/11/14 16:32:50
5.437	6.000	1402497170.63	06/11/14 16:32:50
5.798	7.000	1402497170.98	06/11/14 16:32:50
6.170	8.000	1402497171.37	06/11/14 16:32:51
6.534	9.000	1402497171.73	06/11/14 16:32:51
6.833	10.000	1402497172.03	06/11/14 16:32:52
7.196	11.000	1402497172.39	06/11/14 16:32:52
7.552	12.000	1402497172.75	06/11/14 16:32:52
7.911	13.000	1402497173.11	06/11/14 16:32:53
8.271	14.000	1402497173.47	06/11/14 16:32:53
8.628	15.000	1402497173.78	06/11/14 16:32:53

# Log finished at: 06/11/14 16:32:53
############################# Log - End #############################
