############################ Log - Start ############################
# Log initialized at: 06/06/14 17:15:06
# motor device
Time	motor/omsvme58_exp/27	motor/omsvme58_exp/39	motor/omsvme58_exp/33	Timestamp	Datetime
29.643	11.000	15.000	2.000	1402067736.65	06/06/14 17:15:36
29.790	12.000	15.000	2.000	1402067736.79	06/06/14 17:15:36
29.925	13.000	15.000	2.000	1402067736.93	06/06/14 17:15:36
30.065	14.000	15.000	2.000	1402067737.07	06/06/14 17:15:37
30.202	15.000	15.000	2.000	1402067737.18	06/06/14 17:15:37
33.486	15.000	0.000	2.000	1402067740.49	06/06/14 17:15:40
33.625	15.000	1.000	2.000	1402067740.63	06/06/14 17:15:40
33.763	15.000	2.000	2.000	1402067740.77	06/06/14 17:15:40
33.900	15.000	3.000	2.000	1402067740.9	06/06/14 17:15:40
34.037	15.000	4.000	2.000	1402067741.04	06/06/14 17:15:41
34.191	15.000	5.000	2.000	1402067741.18	06/06/14 17:15:41
34.317	15.000	6.000	2.000	1402067741.32	06/06/14 17:15:41
34.454	15.000	7.000	2.000	1402067741.46	06/06/14 17:15:41
34.590	15.000	8.000	2.000	1402067741.59	06/06/14 17:15:41
34.728	15.000	9.000	2.000	1402067741.73	06/06/14 17:15:41
34.865	15.000	10.000	2.000	1402067741.87	06/06/14 17:15:41
35.002	15.000	11.000	2.000	1402067742.0	06/06/14 17:15:42
35.137	15.000	12.000	2.000	1402067742.14	06/06/14 17:15:42
35.277	15.000	13.000	2.000	1402067742.28	06/06/14 17:15:42
35.415	15.000	14.000	2.000	1402067742.42	06/06/14 17:15:42
35.556	15.000	15.000	2.000	1402067742.54	06/06/14 17:15:42
35.629	15.000	15.000	2.000	1402067742.63	06/06/14 17:15:42
39.050	0.000	15.000	3.000	1402067746.04	06/06/14 17:15:46
39.177	1.000	15.000	3.000	1402067746.18	06/06/14 17:15:46
39.354	2.000	15.000	3.000	1402067746.34	06/06/14 17:15:46
39.482	3.000	15.000	3.000	1402067746.46	06/06/14 17:15:46
39.605	4.000	15.000	3.000	1402067746.6	06/06/14 17:15:46
39.738	5.000	15.000	3.000	1402067746.74	06/06/14 17:15:46
39.874	6.000	15.000	3.000	1402067746.88	06/06/14 17:15:46
40.013	7.000	15.000	3.000	1402067747.02	06/06/14 17:15:47
