############################ Log - Start ############################
# Log initialized at: 07/29/14 16:04:19
# Temperature device: tango://haspp02oh1:10000/p02/eurotherm/exp.01
# Error threshold: 2.000
Time	Real temperature	Average temperature	Setpoint temperature	Timestamp	Datetime
0.000	25.400	25.400	20.000	1406642659.34	07/29/14 16:04:19
1.123	25.500	25.450	30.000	1406642660.37	07/29/14 16:04:20
2.175	25.200	25.350	30.000	1406642661.42	07/29/14 16:04:21
3.221	25.100	25.300	30.000	1406642662.53	07/29/14 16:04:22
4.327	25.700	25.357	30.000	1406642663.56	07/29/14 16:04:23
5.363	26.800	25.622	30.000	1406642664.6	07/29/14 16:04:24
6.399	27.300	25.918	30.000	1406642665.7	07/29/14 16:04:25
7.499	27.500	26.050	30.000	1406642666.75	07/29/14 16:04:26
8.553	28.000	26.300	30.000	1406642667.84	07/29/14 16:04:27
9.643	28.700	26.581	30.000	1406642668.99	07/29/14 16:04:28

# Log finished at: 07/29/14 16:04:28
############################# Log - End #############################
