############################ Log - Start ############################
# Log initialized at: 06/12/14 15:23:21
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime############################ Log - Start ############################
# Log initialized at: 06/12/14 15:23:21
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.338	0.000	1402579404.55	06/12/14 15:23:24
3.359	0.000	1402579404.55	06/12/14 15:23:24
3.697	1.000	1402579404.92	06/12/14 15:23:24
3.718	1.000	1402579404.92	06/12/14 15:23:24
4.055	2.000	1402579405.27	06/12/14 15:23:25
4.076	2.000	1402579405.27	06/12/14 15:23:25
4.412	3.000	1402579405.63	06/12/14 15:23:25
4.434	3.000	1402579405.63	06/12/14 15:23:25
4.771	4.000	1402579405.99	06/12/14 15:23:25
4.792	4.000	1402579405.99	06/12/14 15:23:25
5.149	5.000	1402579406.35	06/12/14 15:23:26
5.128	5.000	1402579406.35	06/12/14 15:23:26
5.486	6.000	1402579406.69	06/12/14 15:23:26
5.507	6.000	1402579406.69	06/12/14 15:23:26
5.842	7.000	1402579407.07	06/12/14 15:23:27
6.204	8.000	1402579407.43	06/12/14 15:23:27
