############################ Log - Start ############################
# Log initialized at: 06/12/14 15:18:02
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.342	0.000	1402579085.82	06/12/14 15:18:05
3.698	1.000	1402579086.18	06/12/14 15:18:06
4.057	2.000	1402579086.54	06/12/14 15:18:06
4.414	3.000	1402579086.89	06/12/14 15:18:06
4.781	4.000	1402579087.26	06/12/14 15:18:07
5.138	5.000	1402579087.62	06/12/14 15:18:07
5.500	6.000	1402579087.98	06/12/14 15:18:07
5.857	7.000	1402579088.34	06/12/14 15:18:08
6.214	8.000	1402579088.69	06/12/14 15:18:08
6.572	9.000	1402579089.05	06/12/14 15:18:09
6.931	10.000	1402579089.41	06/12/14 15:18:09
7.288	11.000	1402579089.77	06/12/14 15:18:09
7.647	12.000	1402579090.13	06/12/14 15:18:10
8.003	13.000	1402579090.48	06/12/14 15:18:10
8.274	14.000	1402579090.75	06/12/14 15:18:10
8.632	15.000	1402579091.09	06/12/14 15:18:11
