############################ Log - Start ############################
# Log initialized at: 06/06/14 17:06:44
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.360	0.000	1402067207.59	06/06/14 17:06:47
3.714	1.000	1402067207.94	06/06/14 17:06:47
4.070	2.000	1402067208.3	06/06/14 17:06:48
4.423	3.000	1402067208.65	06/06/14 17:06:48
4.776	4.000	1402067209.01	06/06/14 17:06:49
5.131	5.000	1402067209.36	06/06/14 17:06:49
5.483	6.000	1402067209.71	06/06/14 17:06:49
5.836	7.000	1402067210.07	06/06/14 17:06:50
6.200	8.000	1402067210.43	06/06/14 17:06:50
6.553	9.000	1402067210.76	06/06/14 17:06:50
6.910	10.000	1402067211.14	06/06/14 17:06:51
7.263	11.000	1402067211.49	06/06/14 17:06:51
7.616	12.000	1402067211.85	06/06/14 17:06:51
7.971	13.000	1402067212.2	06/06/14 17:06:52
8.324	14.000	1402067212.55	06/06/14 17:06:52
8.676	15.000	1402067212.89	06/06/14 17:06:52

# Log finished at: 06/06/14 17:06:52
############################# Log - End #############################
