############################ Log - Start ############################
# Log initialized at: 06/06/14 17:12:21
# motor device
Time	motor/omsvme58_exp/39	motor/omsvme58_exp/27	Timestamp	Datetime
3.138	0.000	15.000	1402067545.11	06/06/14 17:12:25
3.275	1.000	15.000	1402067545.25	06/06/14 17:12:25
3.412	2.000	15.000	1402067545.38	06/06/14 17:12:25
3.548	3.000	15.000	1402067545.52	06/06/14 17:12:25
3.685	4.000	15.000	1402067545.66	06/06/14 17:12:25
3.821	5.000	15.000	1402067545.79	06/06/14 17:12:25
3.958	6.000	15.000	1402067545.93	06/06/14 17:12:25
4.095	7.000	15.000	1402067546.07	06/06/14 17:12:26
4.232	8.000	15.000	1402067546.2	06/06/14 17:12:26
4.370	9.000	15.000	1402067546.34	06/06/14 17:12:26
4.507	10.000	15.000	1402067546.48	06/06/14 17:12:26
4.644	11.000	15.000	1402067546.62	06/06/14 17:12:26
4.780	12.000	15.000	1402067546.75	06/06/14 17:12:26
4.917	13.000	15.000	1402067546.89	06/06/14 17:12:26
5.053	14.000	15.000	1402067547.02	06/06/14 17:12:27
5.191	15.000	15.000	1402067547.14	06/06/14 17:12:27

# Log finished at: 06/06/14 17:12:27
############################# Log - End #############################

# Log finished at: 06/06/14 17:12:32
############################# Log - End #############################
