############################ Log - Start ############################
# Log initialized at: 06/06/14 16:53:02
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.411	0.000	1402066385.69	06/06/14 16:53:05
3.764	1.000	1402066386.05	06/06/14 16:53:06
4.119	2.000	1402066386.4	06/06/14 16:53:06
4.472	3.000	1402066386.75	06/06/14 16:53:06
4.824	4.000	1402066387.08	06/06/14 16:53:07
5.182	5.000	1402066387.46	06/06/14 16:53:07
5.536	6.000	1402066387.81	06/06/14 16:53:07
5.889	7.000	1402066388.17	06/06/14 16:53:08
6.242	8.000	1402066388.52	06/06/14 16:53:08
6.596	9.000	1402066388.87	06/06/14 16:53:08
6.949	10.000	1402066389.23	06/06/14 16:53:09
7.303	11.000	1402066389.58	06/06/14 16:53:09
7.667	12.000	1402066389.95	06/06/14 16:53:09
8.022	13.000	1402066390.3	06/06/14 16:53:10
8.302	14.000	1402066390.58	06/06/14 16:53:10
8.656	15.000	1402066390.92	06/06/14 16:53:10

# Log finished at: 06/06/14 16:53:10
############################# Log - End #############################
