############################ Log - Start ############################
# Log initialized at: 06/13/14 10:46:40
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.387	0.000	1402649204.14	06/13/14 10:46:44
3.745	1.000	1402649204.5	06/13/14 10:46:44
4.114	2.000	1402649204.87	06/13/14 10:46:44
4.484	3.000	1402649205.24	06/13/14 10:46:45
4.839	4.000	1402649205.59	06/13/14 10:46:45
5.205	5.000	1402649205.96	06/13/14 10:46:45
5.560	6.000	1402649206.31	06/13/14 10:46:46
5.917	7.000	1402649206.67	06/13/14 10:46:46
6.287	8.000	1402649207.04	06/13/14 10:46:47
6.644	9.000	1402649207.4	06/13/14 10:46:47
7.002	10.000	1402649207.76	06/13/14 10:46:47
7.360	11.000	1402649208.11	06/13/14 10:46:48
7.717	12.000	1402649208.47	06/13/14 10:46:48
8.075	13.000	1402649208.83	06/13/14 10:46:48
8.443	14.000	1402649209.2	06/13/14 10:46:49
8.812	15.000	1402649209.55	06/13/14 10:46:49

# Log finished at: 06/13/14 10:46:49
############################# Log - End #############################
