############################ Log - Start ############################
# Log initialized at: 06/12/14 15:20:18
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.335	0.000	1402579221.83	06/12/14 15:20:21
3.692	1.000	1402579222.19	06/12/14 15:20:22
4.054	2.000	1402579222.55	06/12/14 15:20:22
4.410	3.000	1402579222.91	06/12/14 15:20:22
4.767	4.000	1402579223.26	06/12/14 15:20:23
5.120	5.000	1402579223.62	06/12/14 15:20:23
5.475	6.000	1402579223.97	06/12/14 15:20:23
5.831	7.000	1402579224.33	06/12/14 15:20:24
6.189	8.000	1402579224.69	06/12/14 15:20:24
6.545	9.000	1402579225.04	06/12/14 15:20:25
6.902	10.000	1402579225.4	06/12/14 15:20:25
7.261	11.000	1402579225.76	06/12/14 15:20:25
7.615	12.000	1402579226.11	06/12/14 15:20:26
7.971	13.000	1402579226.47	06/12/14 15:20:26
8.333	14.000	1402579226.83	06/12/14 15:20:26
8.688	15.000	1402579227.17	06/12/14 15:20:27

# Log finished at: 06/12/14 15:20:27
############################# Log - End #############################
