############################ Log - Start ############################
# Log initialized at: 06/06/14 17:06:24
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.339	0.000	1402067187.92	06/06/14 17:06:27
3.691	1.000	1402067188.27	06/06/14 17:06:28
4.045	2.000	1402067188.63	06/06/14 17:06:28
4.397	3.000	1402067188.98	06/06/14 17:06:28
4.752	4.000	1402067189.34	06/06/14 17:06:29
5.110	5.000	1402067189.69	06/06/14 17:06:29
5.497	6.000	1402067190.07	06/06/14 17:06:30
5.824	7.000	1402067190.41	06/06/14 17:06:30
6.180	8.000	1402067190.76	06/06/14 17:06:30
6.534	9.000	1402067191.12	06/06/14 17:06:31
6.886	10.000	1402067191.47	06/06/14 17:06:31
7.250	11.000	1402067191.83	06/06/14 17:06:31
7.602	12.000	1402067192.19	06/06/14 17:06:32
7.955	13.000	1402067192.54	06/06/14 17:06:32
8.307	14.000	1402067192.89	06/06/14 17:06:32
8.660	15.000	1402067193.22	06/06/14 17:06:33

# Log finished at: 06/06/14 17:06:33
############################# Log - End #############################
