############################ Log - Start ############################
# Log initialized at: 06/06/14 17:49:28
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.383	0.000	1402069771.48	06/06/14 17:49:31
3.743	1.000	1402069771.84	06/06/14 17:49:31
4.095	2.000	1402069772.17	06/06/14 17:49:32
4.470	3.000	1402069772.58	06/06/14 17:49:32
4.742	4.000	1402069772.84	06/06/14 17:49:32
5.099	5.000	1402069773.19	06/06/14 17:49:33
5.450	6.000	1402069773.55	06/06/14 17:49:33
5.807	7.000	1402069773.91	06/06/14 17:49:33
6.171	8.000	1402069774.27	06/06/14 17:49:34
6.526	9.000	1402069774.63	06/06/14 17:49:34
6.890	10.000	1402069774.99	06/06/14 17:49:34
7.242	11.000	1402069775.34	06/06/14 17:49:35
7.609	12.000	1402069775.71	06/06/14 17:49:35
7.967	13.000	1402069776.07	06/06/14 17:49:36
8.324	14.000	1402069776.42	06/06/14 17:49:36
8.681	15.000	1402069776.76	06/06/14 17:49:36

# Log finished at: 06/06/14 17:49:36
############################# Log - End #############################
