############################ Log - Start ############################
# Log initialized at: 06/06/14 17:16:30
# motor device
Time	motor/omsvme58_exp/37	motor/omsvme58_exp/27	motor/omsvme58_exp/33	Timestamp	Datetime
4.576	0.000	0.000	0.000	1402067794.97	06/06/14 17:16:34
4.711	1.000	0.000	0.000	1402067795.1	06/06/14 17:16:35
4.847	2.000	0.000	0.000	1402067795.24	06/06/14 17:16:35
4.985	3.000	0.000	0.000	1402067795.38	06/06/14 17:16:35
5.121	4.000	0.000	0.000	1402067795.51	06/06/14 17:16:35
5.260	5.000	0.000	0.000	1402067795.65	06/06/14 17:16:35
5.408	6.000	0.000	0.000	1402067795.8	06/06/14 17:16:35
5.545	7.000	0.000	0.000	1402067795.93	06/06/14 17:16:35
5.684	8.000	0.000	0.000	1402067796.07	06/06/14 17:16:36
5.820	9.000	0.000	0.000	1402067796.21	06/06/14 17:16:36
5.957	10.000	0.000	0.000	1402067796.35	06/06/14 17:16:36
6.094	11.000	0.000	0.000	1402067796.49	06/06/14 17:16:36
6.231	12.000	0.000	0.000	1402067796.62	06/06/14 17:16:36
6.367	13.000	0.000	0.000	1402067796.76	06/06/14 17:16:36
6.504	14.000	0.000	0.000	1402067796.9	06/06/14 17:16:36
6.645	15.000	0.000	0.000	1402067797.02	06/06/14 17:16:37
6.722	15.000	0.000	0.000	1402067797.11	06/06/14 17:16:37
10.082	0.000	1.000	0.000	1402067800.47	06/06/14 17:16:40
10.218	1.000	1.000	0.000	1402067800.61	06/06/14 17:16:40
10.353	2.000	1.000	0.000	1402067800.74	06/06/14 17:16:40
10.490	3.000	1.000	0.000	1402067800.88	06/06/14 17:16:40
10.627	4.000	1.000	0.000	1402067801.02	06/06/14 17:16:41
10.764	5.000	1.000	0.000	1402067801.15	06/06/14 17:16:41
10.900	6.000	1.000	0.000	1402067801.29	06/06/14 17:16:41
11.039	7.000	1.000	0.000	1402067801.43	06/06/14 17:16:41
11.175	8.000	1.000	0.000	1402067801.57	06/06/14 17:16:41
11.312	9.000	1.000	0.000	1402067801.7	06/06/14 17:16:41
11.453	10.000	1.000	0.000	1402067801.84	06/06/14 17:16:41
11.590	11.000	1.000	0.000	1402067801.98	06/06/14 17:16:41
11.735	12.000	1.000	0.000	1402067802.13	06/06/14 17:16:42
11.872	13.000	1.000	0.000	1402067802.26	06/06/14 17:16:42
12.009	14.000	1.000	0.000	1402067802.4	06/06/14 17:16:42
12.146	15.000	1.000	0.000	1402067802.52	06/06/14 17:16:42
12.250	15.000	1.000	0.000	1402067802.64	06/06/14 17:16:42
15.607	0.000	2.000	0.000	1402067806.0	06/06/14 17:16:45
15.745	1.000	2.000	0.000	1402067806.14	06/06/14 17:16:46
15.881	2.000	2.000	0.000	1402067806.27	06/06/14 17:16:46
16.019	3.000	2.000	0.000	1402067806.41	06/06/14 17:16:46
16.156	4.000	2.000	0.000	1402067806.55	06/06/14 17:16:46
16.293	5.000	2.000	0.000	1402067806.69	06/06/14 17:16:46
16.430	6.000	2.000	0.000	1402067806.82	06/06/14 17:16:46
16.569	7.000	2.000	0.000	1402067806.96	06/06/14 17:16:46
16.706	8.000	2.000	0.000	1402067807.1	06/06/14 17:16:47
16.842	9.000	2.000	0.000	1402067807.24	06/06/14 17:16:47
16.982	10.000	2.000	0.000	1402067807.37	06/06/14 17:16:47
17.119	11.000	2.000	0.000	1402067807.51	06/06/14 17:16:47
17.265	12.000	2.000	0.000	1402067807.66	06/06/14 17:16:47
17.404	13.000	2.000	0.000	1402067807.79	06/06/14 17:16:47
17.541	14.000	2.000	0.000	1402067807.93	06/06/14 17:16:47
17.679	15.000	2.000	0.000	1402067808.05	06/06/14 17:16:48
17.761	15.000	2.000	0.000	1402067808.15	06/06/14 17:16:48
21.119	0.000	3.000	0.000	1402067811.51	06/06/14 17:16:51
21.258	1.000	3.000	0.000	1402067811.65	06/06/14 17:16:51
21.397	2.000	3.000	0.000	1402067811.79	06/06/14 17:16:51
