############################ Log - Start ############################
# Log initialized at: 06/12/14 15:30:09
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.338	0.000	1402579812.67	06/12/14 15:30:12
3.695	1.000	1402579813.01	06/12/14 15:30:13
4.053	2.000	1402579813.38	06/12/14 15:30:13
4.410	3.000	1402579813.74	06/12/14 15:30:13
4.767	4.000	1402579814.08	06/12/14 15:30:14
5.129	5.000	1402579814.46	06/12/14 15:30:14
5.483	6.000	1402579814.8	06/12/14 15:30:14
5.839	7.000	1402579815.17	06/12/14 15:30:15
6.197	8.000	1402579815.53	06/12/14 15:30:15
6.556	9.000	1402579815.89	06/12/14 15:30:15
6.913	10.000	1402579816.24	06/12/14 15:30:16
7.176	11.000	1402579816.51	06/12/14 15:30:16
7.536	12.000	1402579816.87	06/12/14 15:30:16
7.904	13.000	1402579817.23	06/12/14 15:30:17
8.262	14.000	1402579817.59	06/12/14 15:30:17
8.621	15.000	1402579817.92	06/12/14 15:30:17

# Log finished at: 06/12/14 15:30:17
############################# Log - End #############################
