############################ Log - Start ############################
# Log initialized at: 06/10/14 16:17:14
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.354	0.000	1402409838.29	06/10/14 16:17:18
3.704	1.000	1402409838.64	06/10/14 16:17:18
4.054	2.000	1402409838.99	06/10/14 16:17:18
4.316	3.000	1402409839.25	06/10/14 16:17:19
4.667	4.000	1402409839.6	06/10/14 16:17:19
5.018	5.000	1402409839.95	06/10/14 16:17:19
5.369	6.000	1402409840.3	06/10/14 16:17:20
5.634	7.000	1402409840.55	06/10/14 16:17:20
5.987	8.000	1402409840.92	06/10/14 16:17:20
6.337	9.000	1402409841.27	06/10/14 16:17:21
6.687	10.000	1402409841.62	06/10/14 16:17:21
7.037	11.000	1402409841.97	06/10/14 16:17:21
7.388	12.000	1402409842.32	06/10/14 16:17:22
7.737	13.000	1402409842.65	06/10/14 16:17:22
8.090	14.000	1402409843.03	06/10/14 16:17:23
8.440	15.000	1402409843.36	06/10/14 16:17:23

# Log finished at: 06/10/14 16:17:23
############################# Log - End #############################
