############################ Log - Start ############################
# Log initialized at: 09/03/14 11:24:38
# Temperature device: tango://haspp02oh1:10000/p02/eurotherm/exp.01
# Error threshold: 2.000
Time	Real temperature	Average temperature	Setpoint temperature	Timestamp	Datetime
0.000	25.500	25.500	23.300	1409736279.06	09/03/14 11:24:39
1.154	25.400	25.450	23.200	1409736280.05	09/03/14 11:24:40
2.190	25.300	25.375	23.200	1409736281.14	09/03/14 11:24:41
3.282	25.300	25.360	23.200	1409736282.19	09/03/14 11:24:42
4.332	25.300	25.343	23.200	1409736283.27	09/03/14 11:24:43
5.410	25.100	25.300	23.200	1409736284.33	09/03/14 11:24:44
6.446	25.000	25.270	23.200	1409736285.39	09/03/14 11:24:45
7.534	25.000	25.225	23.200	1409736286.43	09/03/14 11:24:46
8.572	25.000	25.193	23.200	1409736287.46	09/03/14 11:24:47
9.608	25.000	25.180	23.200	1409736288.54	09/03/14 11:24:48
10.686	24.800	25.147	23.200	1409736289.63	09/03/14 11:24:49
11.778	24.700	25.100	23.200	1409736290.86	09/03/14 11:24:50
12.816	24.700	25.080	23.200	1409736291.77	09/03/14 11:24:51
13.916	24.600	25.041	23.200	1409736292.84	09/03/14 11:24:52

# Log finished at: 09/03/14 11:24:53
############################# Log - End #############################
