############################ Log - Start ############################
# Log initialized at: 06/11/14 13:33:23
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.388	0.000	1402486406.56	06/11/14 13:33:26
3.753	1.000	1402486406.92	06/11/14 13:33:26
4.108	2.000	1402486407.28	06/11/14 13:33:27
4.472	3.000	1402486407.64	06/11/14 13:33:27
4.828	4.000	1402486408.0	06/11/14 13:33:28
5.185	5.000	1402486408.36	06/11/14 13:33:28
5.541	6.000	1402486408.71	06/11/14 13:33:28
5.895	7.000	1402486409.07	06/11/14 13:33:29
6.251	8.000	1402486409.42	06/11/14 13:33:29
6.604	9.000	1402486409.78	06/11/14 13:33:29
6.959	10.000	1402486410.13	06/11/14 13:33:30
7.312	11.000	1402486410.48	06/11/14 13:33:30
7.667	12.000	1402486410.84	06/11/14 13:33:30
8.022	13.000	1402486411.19	06/11/14 13:33:31
8.377	14.000	1402486411.55	06/11/14 13:33:31
8.732	15.000	1402486411.88	06/11/14 13:33:31

# Log finished at: 06/11/14 13:33:32
############################# Log - End #############################
