############################ Log - Start ############################
# Log initialized at: 06/06/14 17:14:18
# motor device
Time	motor/omsvme58_exp/39	motor/omsvme58_exp/27	motor/omsvme58_exp/33	Timestamp	Datetime
3.131	0.000	15.000	15.000	1402067661.24	06/06/14 17:14:21
3.268	1.000	15.000	15.000	1402067661.38	06/06/14 17:14:21
3.405	2.000	15.000	15.000	1402067661.51	06/06/14 17:14:21
3.542	3.000	15.000	15.000	1402067661.65	06/06/14 17:14:21
3.679	4.000	15.000	15.000	1402067661.79	06/06/14 17:14:21
3.816	5.000	15.000	15.000	1402067661.93	06/06/14 17:14:21
3.953	6.000	15.000	15.000	1402067662.06	06/06/14 17:14:22
4.090	7.000	15.000	15.000	1402067662.2	06/06/14 17:14:22
4.228	8.000	15.000	15.000	1402067662.34	06/06/14 17:14:22
4.364	9.000	15.000	15.000	1402067662.47	06/06/14 17:14:22
4.501	10.000	15.000	15.000	1402067662.61	06/06/14 17:14:22
4.637	11.000	15.000	15.000	1402067662.75	06/06/14 17:14:22
4.773	12.000	15.000	15.000	1402067662.88	06/06/14 17:14:22
4.910	13.000	15.000	15.000	1402067663.02	06/06/14 17:14:23
5.047	14.000	15.000	15.000	1402067663.16	06/06/14 17:14:23
5.187	15.000	15.000	15.000	1402067663.28	06/06/14 17:14:23
8.551	15.000	0.000	15.000	1402067666.66	06/06/14 17:14:26
8.688	15.000	1.000	15.000	1402067666.8	06/06/14 17:14:26
8.826	15.000	2.000	15.000	1402067666.94	06/06/14 17:14:26
8.966	15.000	3.000	15.000	1402067667.08	06/06/14 17:14:27
9.103	15.000	4.000	15.000	1402067667.22	06/06/14 17:14:27
9.242	15.000	5.000	15.000	1402067667.35	06/06/14 17:14:27
9.378	15.000	6.000	15.000	1402067667.49	06/06/14 17:14:27
9.515	15.000	7.000	15.000	1402067667.63	06/06/14 17:14:27
9.655	15.000	8.000	15.000	1402067667.76	06/06/14 17:14:27
9.790	15.000	9.000	15.000	1402067667.9	06/06/14 17:14:27
9.928	15.000	10.000	15.000	1402067668.04	06/06/14 17:14:28
10.065	15.000	11.000	15.000	1402067668.18	06/06/14 17:14:28
10.202	15.000	12.000	15.000	1402067668.31	06/06/14 17:14:28
10.338	15.000	13.000	15.000	1402067668.45	06/06/14 17:14:28
10.476	15.000	14.000	15.000	1402067668.58	06/06/14 17:14:28
10.613	15.000	15.000	15.000	1402067668.7	06/06/14 17:14:28
13.905	15.000	15.000	0.000	1402067672.01	06/06/14 17:14:32
14.042	15.000	15.000	1.000	1402067672.16	06/06/14 17:14:32
14.180	15.000	15.000	2.000	1402067672.29	06/06/14 17:14:32
14.315	15.000	15.000	3.000	1402067672.43	06/06/14 17:14:32
14.452	15.000	15.000	4.000	1402067672.56	06/06/14 17:14:32
14.589	15.000	15.000	5.000	1402067672.7	06/06/14 17:14:32
14.725	15.000	15.000	6.000	1402067672.83	06/06/14 17:14:32
14.861	15.000	15.000	7.000	1402067672.97	06/06/14 17:14:32
14.997	15.000	15.000	8.000	1402067673.11	06/06/14 17:14:33
15.134	15.000	15.000	9.000	1402067673.25	06/06/14 17:14:33
15.272	15.000	15.000	10.000	1402067673.38	06/06/14 17:14:33
15.407	15.000	15.000	11.000	1402067673.51	06/06/14 17:14:33
15.546	15.000	15.000	12.000	1402067673.66	06/06/14 17:14:33
15.684	15.000	15.000	13.000	1402067673.79	06/06/14 17:14:33
15.820	15.000	15.000	14.000	1402067673.93	06/06/14 17:14:33
15.955	15.000	15.000	15.000	1402067674.05	06/06/14 17:14:34

# Log finished at: 06/06/14 17:14:34
############################# Log - End #############################
