############################ Log - Start ############################
# Log initialized at: 06/06/14 17:13:00
# motor device
Time	motor/omsvme58_exp/39	motor/omsvme58_exp/27	Timestamp	Datetime
3.164	0.000	15.000	1402067583.71	06/06/14 17:13:03
3.300	1.000	15.000	1402067583.85	06/06/14 17:13:03
3.439	2.000	15.000	1402067583.99	06/06/14 17:13:03
3.576	3.000	15.000	1402067584.13	06/06/14 17:13:04
3.715	4.000	15.000	1402067584.27	06/06/14 17:13:04
3.854	5.000	15.000	1402067584.4	06/06/14 17:13:04
3.993	6.000	15.000	1402067584.55	06/06/14 17:13:04
4.035	7.000	15.000	1402067584.59	06/06/14 17:13:04
4.178	8.000	15.000	1402067584.73	06/06/14 17:13:04
4.315	9.000	15.000	1402067584.86	06/06/14 17:13:04
4.451	10.000	15.000	1402067585.0	06/06/14 17:13:04
4.588	11.000	15.000	1402067585.14	06/06/14 17:13:05
4.725	12.000	15.000	1402067585.27	06/06/14 17:13:05
4.861	13.000	15.000	1402067585.41	06/06/14 17:13:05
4.996	14.000	15.000	1402067585.55	06/06/14 17:13:05
5.134	15.000	15.000	1402067585.66	06/06/14 17:13:05
8.474	15.000	0.000	1402067589.02	06/06/14 17:13:09
8.613	15.000	1.000	1402067589.16	06/06/14 17:13:09
8.749	15.000	2.000	1402067589.29	06/06/14 17:13:09
8.886	15.000	3.000	1402067589.43	06/06/14 17:13:09
9.023	15.000	4.000	1402067589.57	06/06/14 17:13:09
9.160	15.000	5.000	1402067589.72	06/06/14 17:13:09
9.314	15.000	6.000	1402067589.86	06/06/14 17:13:09
9.452	15.000	7.000	1402067590.0	06/06/14 17:13:09
9.587	15.000	8.000	1402067590.13	06/06/14 17:13:10
9.725	15.000	9.000	1402067590.27	06/06/14 17:13:10
9.862	15.000	10.000	1402067590.41	06/06/14 17:13:10
10.000	15.000	11.000	1402067590.55	06/06/14 17:13:10
10.136	15.000	12.000	1402067590.68	06/06/14 17:13:10
10.276	15.000	13.000	1402067590.82	06/06/14 17:13:10
10.414	15.000	14.000	1402067590.96	06/06/14 17:13:10
10.553	15.000	15.000	1402067591.08	06/06/14 17:13:11

# Log finished at: 06/06/14 17:13:11
############################# Log - End #############################
