############################ Log - Start ############################
# Log initialized at: 06/10/14 16:14:04
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.335	0.000	1402409647.54	06/10/14 16:14:07
3.685	1.000	1402409647.89	06/10/14 16:14:07
4.036	2.000	1402409648.24	06/10/14 16:14:08
4.388	3.000	1402409648.59	06/10/14 16:14:08
4.737	4.000	1402409648.94	06/10/14 16:14:08
5.088	5.000	1402409649.29	06/10/14 16:14:09
5.438	6.000	1402409649.62	06/10/14 16:14:09
5.790	7.000	1402409649.99	06/10/14 16:14:09
6.142	8.000	1402409650.34	06/10/14 16:14:10
6.492	9.000	1402409650.69	06/10/14 16:14:10
6.842	10.000	1402409651.04	06/10/14 16:14:11
7.192	11.000	1402409651.39	06/10/14 16:14:11
7.543	12.000	1402409651.74	06/10/14 16:14:11
7.892	13.000	1402409652.09	06/10/14 16:14:12
8.243	14.000	1402409652.44	06/10/14 16:14:12
8.595	15.000	1402409652.78	06/10/14 16:14:12

# Log finished at: 06/10/14 16:14:12
############################# Log - End #############################
