############################ Log - Start ############################
# Log initialized at: 06/06/14 16:53:55
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.336	0.000	1402066439.08	06/06/14 16:53:59
3.692	0.000	1402066439.43	06/06/14 16:53:59
4.046	0.000	1402066439.79	06/06/14 16:53:59
4.400	0.000	1402066440.14	06/06/14 16:54:00
4.752	0.000	1402066440.49	06/06/14 16:54:00
5.109	0.000	1402066440.85	06/06/14 16:54:00
5.477	0.000	1402066441.22	06/06/14 16:54:01
5.831	0.000	1402066441.57	06/06/14 16:54:01
6.196	0.000	1402066441.94	06/06/14 16:54:01
6.551	0.000	1402066442.29	06/06/14 16:54:02
6.915	0.000	1402066442.65	06/06/14 16:54:02
7.271	0.000	1402066443.01	06/06/14 16:54:03
7.624	0.000	1402066443.36	06/06/14 16:54:03
7.977	0.000	1402066443.72	06/06/14 16:54:03
8.331	0.000	1402066444.07	06/06/14 16:54:04
8.688	0.000	1402066444.43	06/06/14 16:54:04

# Log finished at: 06/06/14 16:54:04
############################# Log - End #############################
