############################ Log - Start ############################
# Log initialized at: 06/10/14 14:34:23
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime############################ Log - Start ############################
# Log initialized at: 06/10/14 14:34:23
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.351	0.000	1402403666.7	06/10/14 14:34:26
3.328	0.000	1402403666.7	06/10/14 14:34:26
3.679	1.000	1402403667.08	06/10/14 14:34:27
3.702	1.000	1402403667.08	06/10/14 14:34:27
4.054	2.000	1402403667.4	06/10/14 14:34:27
4.032	2.000	1402403667.4	06/10/14 14:34:27
4.406	3.000	1402403667.76	06/10/14 14:34:27
4.384	3.000	1402403667.76	06/10/14 14:34:27
4.734	4.000	1402403668.13	06/10/14 14:34:28
4.756	4.000	1402403668.13	06/10/14 14:34:28
5.091	5.000	1402403668.48	06/10/14 14:34:28
5.114	5.000	1402403668.48	06/10/14 14:34:28
5.442	6.000	1402403668.81	06/10/14 14:34:28
5.464	6.000	1402403668.81	06/10/14 14:34:28
5.821	7.000	1402403669.17	06/10/14 14:34:29
5.798	7.000	1402403669.2	06/10/14 14:34:29
6.151	8.000	1402403669.52	06/10/14 14:34:29
6.173	8.000	1402403669.53	06/10/14 14:34:29
6.504	9.000	1402403669.9	06/10/14 14:34:29
6.527	9.000	1402403669.9	06/10/14 14:34:29
6.859	10.000	1402403670.25	06/10/14 14:34:30
6.882	10.000	1402403670.25	06/10/14 14:34:30
7.211	11.000	1402403670.58	06/10/14 14:34:30
7.234	11.000	1402403670.58	06/10/14 14:34:30
7.563	12.000	1402403670.95	06/10/14 14:34:30
7.584	12.000	1402403670.95	06/10/14 14:34:30
7.934	13.000	1402403671.3	06/10/14 14:34:31
7.912	13.000	1402403671.3	06/10/14 14:34:31
8.178	14.000	1402403671.57	06/10/14 14:34:31
8.201	14.000	1402403671.57	06/10/14 14:34:31
8.552	15.000	1402403671.88	06/10/14 14:34:31
8.530	15.000	1402403671.88	06/10/14 14:34:31

# Log finished at: 06/10/14 14:34:31
############################# Log - End #############################

# Log finished at: 06/10/14 14:34:31
############################# Log - End #############################
