############################ Log - Start ############################
# Log initialized at: 06/10/14 16:42:45
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.354	0.000	1402411369.37	06/10/14 16:42:49
3.704	1.000	1402411369.72	06/10/14 16:42:49
4.057	2.000	1402411370.08	06/10/14 16:42:50
4.409	3.000	1402411370.43	06/10/14 16:42:50
4.760	4.000	1402411370.78	06/10/14 16:42:50
5.111	5.000	1402411371.13	06/10/14 16:42:51
5.461	6.000	1402411371.48	06/10/14 16:42:51
5.813	7.000	1402411371.83	06/10/14 16:42:51
6.166	8.000	1402411372.18	06/10/14 16:42:52
6.517	9.000	1402411372.53	06/10/14 16:42:52
6.868	10.000	1402411372.88	06/10/14 16:42:52
7.218	11.000	1402411373.23	06/10/14 16:42:53
7.569	12.000	1402411373.57	06/10/14 16:42:53
7.924	13.000	1402411373.94	06/10/14 16:42:53
8.276	14.000	1402411374.29	06/10/14 16:42:54
8.628	15.000	1402411374.63	06/10/14 16:42:54

# Log finished at: 06/10/14 16:42:54
############################# Log - End #############################
