############################ Log - Start ############################
# Log initialized at: 06/10/14 16:28:44
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.335	0.000	1402410528.05	06/10/14 16:28:48
3.687	1.000	1402410528.4	06/10/14 16:28:48
4.038	2.000	1402410528.73	06/10/14 16:28:48
4.390	3.000	1402410529.1	06/10/14 16:28:49
4.739	4.000	1402410529.45	06/10/14 16:28:49
5.089	5.000	1402410529.8	06/10/14 16:28:49
5.440	6.000	1402410530.15	06/10/14 16:28:50
5.790	7.000	1402410530.5	06/10/14 16:28:50
6.139	8.000	1402410530.85	06/10/14 16:28:50
6.490	9.000	1402410531.2	06/10/14 16:28:51
6.842	10.000	1402410531.56	06/10/14 16:28:51
7.191	11.000	1402410531.91	06/10/14 16:28:51
7.547	12.000	1402410532.26	06/10/14 16:28:52
7.897	13.000	1402410532.61	06/10/14 16:28:52
8.248	14.000	1402410532.96	06/10/14 16:28:52
8.598	15.000	1402410533.29	06/10/14 16:28:53

# Log finished at: 06/10/14 16:28:53
############################# Log - End #############################
