############################ Log - Start ############################
# Log initialized at: 06/10/14 13:54:21
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.343	0.000	1402401264.91	06/10/14 13:54:24
3.695	1.000	1402401265.25	06/10/14 13:54:25
4.052	2.000	1402401265.62	06/10/14 13:54:25
4.406	3.000	1402401265.98	06/10/14 13:54:25
4.759	4.000	1402401266.33	06/10/14 13:54:26
5.113	5.000	1402401266.69	06/10/14 13:54:26
5.468	6.000	1402401267.04	06/10/14 13:54:27
5.820	7.000	1402401267.39	06/10/14 13:54:27
6.087	8.000	1402401267.66	06/10/14 13:54:27
6.442	9.000	1402401268.01	06/10/14 13:54:28
6.794	10.000	1402401268.36	06/10/14 13:54:28
7.147	11.000	1402401268.72	06/10/14 13:54:28
7.417	12.000	1402401268.99	06/10/14 13:54:28
7.773	13.000	1402401269.34	06/10/14 13:54:29
8.126	14.000	1402401269.7	06/10/14 13:54:29
8.480	15.000	1402401270.03	06/10/14 13:54:30

# Log finished at: 06/10/14 13:54:30
############################# Log - End #############################
