############################ Log - Start ############################
# Log initialized at: 06/10/14 16:27:20
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime############################ Log - Start ############################
# Log initialized at: 06/10/14 16:27:20
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.363	0.000	1402410443.54	06/10/14 16:27:23
3.343	0.000	1402410443.54	06/10/14 16:27:23
3.714	1.000	1402410443.89	06/10/14 16:27:23
3.695	1.000	1402410443.9	06/10/14 16:27:23
4.066	2.000	1402410444.24	06/10/14 16:27:24
4.046	2.000	1402410444.25	06/10/14 16:27:24
4.415	3.000	1402410444.59	06/10/14 16:27:24
4.396	3.000	1402410444.6	06/10/14 16:27:24
4.766	4.000	1402410444.95	06/10/14 16:27:24
4.746	4.000	1402410444.95	06/10/14 16:27:24
5.097	5.000	1402410445.3	06/10/14 16:27:25
5.118	5.000	1402410445.3	06/10/14 16:27:25
5.467	6.000	1402410445.65	06/10/14 16:27:25
5.447	6.000	1402410445.65	06/10/14 16:27:25
5.818	7.000	1402410446.0	06/10/14 16:27:25
5.798	7.000	1402410446.0	06/10/14 16:27:26
6.171	8.000	1402410446.35	06/10/14 16:27:26
6.151	8.000	1402410446.35	06/10/14 16:27:26
6.523	9.000	1402410446.7	06/10/14 16:27:26
6.504	9.000	1402410446.7	06/10/14 16:27:26
6.872	10.000	1402410447.05	06/10/14 16:27:27
6.853	10.000	1402410447.05	06/10/14 16:27:27
7.222	11.000	1402410447.4	06/10/14 16:27:27
7.202	11.000	1402410447.4	06/10/14 16:27:27
7.573	12.000	1402410447.75	06/10/14 16:27:27
7.554	12.000	1402410447.76	06/10/14 16:27:27
7.924	13.000	1402410448.09	06/10/14 16:27:28
7.904	13.000	1402410448.09	06/10/14 16:27:28
8.278	14.000	1402410448.46	06/10/14 16:27:28
8.258	14.000	1402410448.46	06/10/14 16:27:28
8.629	15.000	1402410448.79	06/10/14 16:27:28
8.609	15.000	1402410448.8	06/10/14 16:27:28

# Log finished at: 06/10/14 16:27:28
############################# Log - End #############################

# Log finished at: 06/10/14 16:27:28
############################# Log - End #############################
