############################ Log - Start ############################
# Log initialized at: 06/12/14 15:15:54
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime############################ Log - Start ############################
# Log initialized at: 06/12/14 15:15:54
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.365	0.000	1402578957.97	06/12/14 15:15:57
3.343	0.000	1402578957.97	06/12/14 15:15:57
3.723	1.000	1402578958.33	06/12/14 15:15:58
3.701	1.000	1402578958.33	06/12/14 15:15:58
4.080	2.000	1402578958.68	06/12/14 15:15:58
4.058	2.000	1402578958.69	06/12/14 15:15:58
4.438	3.000	1402578959.04	06/12/14 15:15:59
4.416	3.000	1402578959.04	06/12/14 15:15:59
4.797	4.000	1402578959.4	06/12/14 15:15:59
4.775	4.000	1402578959.41	06/12/14 15:15:59
5.155	5.000	1402578959.76	06/12/14 15:15:59
5.134	5.000	1402578959.77	06/12/14 15:15:59
5.523	6.000	1402578960.13	06/12/14 15:16:00
5.502	6.000	1402578960.13	06/12/14 15:16:00
5.881	7.000	1402578960.49	06/12/14 15:16:00
5.861	7.000	1402578960.49	06/12/14 15:16:00
6.238	8.000	1402578960.84	06/12/14 15:16:00
6.216	8.000	1402578960.85	06/12/14 15:16:00
6.596	9.000	1402578961.2	06/12/14 15:16:01
6.574	9.000	1402578961.21	06/12/14 15:16:01
6.956	10.000	1402578961.56	06/12/14 15:16:01
6.934	10.000	1402578961.56	06/12/14 15:16:01
7.314	11.000	1402578961.92	06/12/14 15:16:01
7.292	11.000	1402578961.92	06/12/14 15:16:01
7.671	12.000	1402578962.28	06/12/14 15:16:02
7.649	12.000	1402578962.28	06/12/14 15:16:02
8.031	13.000	1402578962.64	06/12/14 15:16:02
8.009	13.000	1402578962.64	06/12/14 15:16:02
8.391	14.000	1402578963.0	06/12/14 15:16:02
8.369	14.000	1402578963.0	06/12/14 15:16:02
8.750	15.000	1402578963.34	06/12/14 15:16:03
8.728	15.000	1402578963.34	06/12/14 15:16:03

# Log finished at: 06/12/14 15:16:03
############################# Log - End #############################

# Log finished at: 06/12/14 15:16:03
############################# Log - End #############################
