############################ Log - Start ############################
# Log initialized at: 06/06/14 16:58:21
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.339		1402066704.51	06/06/14 16:58:24
3.690	1.000	1402066704.87	06/06/14 16:58:24
4.046	2.000	1402066705.23	06/06/14 16:58:25
4.400	3.000	1402066705.58	06/06/14 16:58:25
4.758	4.000	1402066705.94	06/06/14 16:58:25
5.112	5.000	1402066706.29	06/06/14 16:58:26
5.466	6.000	1402066706.65	06/06/14 16:58:26
5.819	7.000	1402066707.0	06/06/14 16:58:27
6.183	8.000	1402066707.36	06/06/14 16:58:27
6.535	9.000	1402066707.72	06/06/14 16:58:27
6.904	10.000	1402066708.08	06/06/14 16:58:28
7.258	11.000	1402066708.44	06/06/14 16:58:28
7.614	12.000	1402066708.8	06/06/14 16:58:28
7.979	13.000	1402066709.16	06/06/14 16:58:29
8.335	14.000	1402066709.52	06/06/14 16:58:29
8.689	15.000	1402066709.85	06/06/14 16:58:29

# Log finished at: 06/06/14 16:58:29
############################# Log - End #############################
