############################ Log - Start ############################
# Log initialized at: 07/29/14 16:01:03
# Temperature device: tango://haspp02oh1:10000/p02/eurotherm/exp.01
# Error threshold: 2.000
Time	Real temperature	Average temperature	Setpoint temperature	Timestamp	Datetime
0.000	21.500	21.500	20.000	1406642463.3	07/29/14 16:01:03
1.109	21.500	21.500	21.300	1406642464.3	07/29/14 16:01:04
2.157	21.500	21.500	21.300	1406642465.36	07/29/14 16:01:05
3.225	21.500	21.500	21.300	1406642466.4	07/29/14 16:01:06
4.261	21.600	21.514	21.300	1406642467.45	07/29/14 16:01:07
5.315	21.500	21.511	21.300	1406642468.54	07/29/14 16:01:08
6.401	21.500	21.509	21.300	1406642469.58	07/29/14 16:01:09
7.437	21.600	21.515	21.300	1406642470.61	07/29/14 16:01:10
8.473	21.400	21.507	21.300	1406642471.69	07/29/14 16:01:11
9.553	21.400	21.488	21.300	1406642472.73	07/29/14 16:01:12
10.589	21.300	21.467	21.300	1406642473.76	07/29/14 16:01:13
11.625	21.400	21.455	21.300	1406642474.84	07/29/14 16:01:14
12.701	21.500	21.455	21.300	1406642475.88	07/29/14 16:01:15
13.737	21.600	21.470	21.300	1406642476.91	07/29/14 16:01:16
14.773	21.600	21.468	21.300	1406642478.03	07/29/14 16:01:18
15.891	21.500	21.470	21.300	1406642479.09	07/29/14 16:01:19
16.955	21.500	21.472	21.300	1406642480.15	07/29/14 16:01:20
18.011	21.600	21.483	21.300	1406642481.25	07/29/14 16:01:21
19.107	21.400	21.484	21.300	1406642482.28	07/29/14 16:01:22
20.143	21.500	21.474	21.300	1406642483.33	07/29/14 16:01:23
21.187	22.400	21.508	21.300	1406642484.37	07/29/14 16:01:24
22.231	23.000	21.557	21.300	1406642485.42	07/29/14 16:01:25
23.281	23.500	21.651	21.300	1406642486.46	07/29/14 16:01:26
24.317	23.800	21.744	21.300	1406642487.53	07/29/14 16:01:27
25.391	23.900	21.842	21.300	1406642488.61	07/29/14 16:01:28
26.467	24.000	21.938	21.300	1406642489.64	07/29/14 16:01:29
27.503	24.000	21.998	21.300	1406642490.68	07/29/14 16:01:30
28.539	24.000	22.067	21.300	1406642491.77	07/29/14 16:01:31
29.633	23.800	22.136	21.300	1406642492.81	07/29/14 16:01:32
30.669	23.600	22.173	21.300	1406642493.9	07/29/14 16:01:33
31.765	23.500	22.225	21.300	1406642494.97	07/29/14 16:01:34
32.827	23.500	22.267	21.300	1406642496.03	07/29/14 16:01:36
33.893	23.400	22.307	21.300	1406642497.08	07/29/14 16:01:37
34.945	23.400	22.344	21.300	1406642498.12	07/29/14 16:01:38
35.981	23.400	22.363	21.300	1406642499.16	07/29/14 16:01:39
37.017	23.200	22.422	21.300	1406642500.19	07/29/14 16:01:40
38.055	23.200	22.478	21.300	1406642501.23	07/29/14 16:01:41
39.091	23.200	22.505	21.300	1406642502.27	07/29/14 16:01:42
40.127	23.200	22.560	21.300	1406642503.33	07/29/14 16:01:43
41.191	23.000	22.613	21.300	1406642504.37	07/29/14 16:01:44
42.228	23.000	22.637	21.300	1406642505.43	07/29/14 16:01:45
43.293	22.900	22.687	21.300	1406642506.48	07/29/14 16:01:46
44.346	22.900	22.738	21.300	1406642507.54	07/29/14 16:01:47
45.399	22.800	22.787	21.300	1406642508.57	07/29/14 16:01:48
46.435	22.600	22.802	21.300	1406642509.66	07/29/14 16:01:49
47.519	22.600	22.843	21.300	1406642510.69	07/29/14 16:01:50
48.556	22.600	22.880	21.300	1406642511.75	07/29/14 16:01:51
49.614	22.500	22.927	21.300	1406642512.83	07/29/14 16:01:52
50.691	22.500	22.957	21.300	1406642513.9	07/29/14 16:01:53
51.760	22.400	22.958	21.300	1406642514.95	07/29/14 16:01:54
52.809	22.300	23.000	21.300	1406642516.0	07/29/14 16:01:55
53.862	22.200	23.023	21.300	1406642517.08	07/29/14 16:01:57

# Log finished at: 07/29/14 16:01:57
############################# Log - End #############################
