############################ Log - Start ############################
# Log initialized at: 06/10/14 16:42:36
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.340	0.000	1402411359.71	06/10/14 16:42:39
3.689	1.000	1402411360.06	06/10/14 16:42:40
4.040	2.000	1402411360.42	06/10/14 16:42:40
4.305	3.000	1402411360.68	06/10/14 16:42:40
4.655	4.000	1402411361.05	06/10/14 16:42:41
5.005	5.000	1402411361.38	06/10/14 16:42:41
5.355	6.000	1402411361.73	06/10/14 16:42:41
5.706	7.000	1402411362.08	06/10/14 16:42:42
6.056	8.000	1402411362.43	06/10/14 16:42:42
6.405	9.000	1402411362.8	06/10/14 16:42:42
6.757	10.000	1402411363.15	06/10/14 16:42:43
7.107	11.000	1402411363.5	06/10/14 16:42:43
7.458	12.000	1402411363.86	06/10/14 16:42:43
7.721	13.000	1402411364.1	06/10/14 16:42:44
8.070	14.000	1402411364.45	06/10/14 16:42:44
8.420	15.000	1402411364.78	06/10/14 16:42:44

# Log finished at: 06/10/14 16:42:44
############################# Log - End #############################
