############################ Log - Start ############################
# Log initialized at: 06/06/14 17:50:29
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.391	0.000	1402069833.4	06/06/14 17:50:33
3.746	1.000	1402069833.76	06/06/14 17:50:33
4.102	2.000	1402069834.12	06/06/14 17:50:34
4.455	3.000	1402069834.47	06/06/14 17:50:34
4.810	4.000	1402069834.82	06/06/14 17:50:34
5.167	5.000	1402069835.18	06/06/14 17:50:35
5.521	6.000	1402069835.53	06/06/14 17:50:35
5.874	7.000	1402069835.89	06/06/14 17:50:35
6.227	8.000	1402069836.24	06/06/14 17:50:36
6.584	9.000	1402069836.6	06/06/14 17:50:36
6.939	10.000	1402069836.95	06/06/14 17:50:36
7.304	11.000	1402069837.3	06/06/14 17:50:37
7.665	12.000	1402069837.68	06/06/14 17:50:37
8.029	13.000	1402069838.04	06/06/14 17:50:38
8.383	14.000	1402069838.4	06/06/14 17:50:38
8.749	15.000	1402069838.74	06/06/14 17:50:38

# Log finished at: 06/06/14 17:50:38
############################# Log - End #############################
