############################ Log - Start ############################
# Log initialized at: 06/10/14 15:03:08
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.336	0.000	1402405392.01	06/10/14 15:03:12
3.686	1.000	1402405392.36	06/10/14 15:03:12
4.035	2.000	1402405392.71	06/10/14 15:03:12
4.386	3.000	1402405393.06	06/10/14 15:03:13
4.734	4.000	1402405393.41	06/10/14 15:03:13
5.087	5.000	1402405393.76	06/10/14 15:03:13
5.436	6.000	1402405394.11	06/10/14 15:03:14
5.786	7.000	1402405394.46	06/10/14 15:03:14
6.135	8.000	1402405394.81	06/10/14 15:03:14
6.487	9.000	1402405395.16	06/10/14 15:03:15
6.837	10.000	1402405395.51	06/10/14 15:03:15
7.187	11.000	1402405395.86	06/10/14 15:03:15
7.538	12.000	1402405396.21	06/10/14 15:03:16
7.887	13.000	1402405396.56	06/10/14 15:03:16
8.238	14.000	1402405396.91	06/10/14 15:03:16
8.589	15.000	1402405397.24	06/10/14 15:03:17

# Log finished at: 06/10/14 15:03:17
############################# Log - End #############################
