############################ Log - Start ############################
# Log initialized at: 06/11/14 09:18:27
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime############################ Log - Start ############################
# Log initialized at: 06/11/14 09:18:27
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.335	0.000	1402471110.75	06/11/14 09:18:30
3.356	0.000	1402471110.75	06/11/14 09:18:30
3.685	1.000	1402471111.1	06/11/14 09:18:31
3.706	1.000	1402471111.1	06/11/14 09:18:31
4.039	2.000	1402471111.46	06/11/14 09:18:31
4.060	2.000	1402471111.46	06/11/14 09:18:31
4.394	3.000	1402471111.81	06/11/14 09:18:31
4.414	3.000	1402471111.81	06/11/14 09:18:31
4.746	4.000	1402471112.16	06/11/14 09:18:32
4.765	4.000	1402471112.16	06/11/14 09:18:32
5.118	5.000	1402471112.51	06/11/14 09:18:32
5.097	5.000	1402471112.51	06/11/14 09:18:32
5.447	6.000	1402471112.86	06/11/14 09:18:32
5.468	6.000	1402471112.86	06/11/14 09:18:32
5.798	7.000	1402471113.22	06/11/14 09:18:33
5.819	7.000	1402471113.22	06/11/14 09:18:33
6.151	8.000	1402471113.57	06/11/14 09:18:33
6.171	8.000	1402471113.57	06/11/14 09:18:33
6.502	9.000	1402471113.92	06/11/14 09:18:33
6.853	10.000	1402471114.27	06/11/14 09:18:34
