############################ Log - Start ############################
# Log initialized at: 06/06/14 17:13:57
# motor device
Time	motor/omsvme58_exp/39	motor/omsvme58_exp/27	motor/omsvme58_exp/33	Timestamp	Datetime
3.129	0.000	15.000	15.000	1402067640.64	06/06/14 17:14:00
3.267	1.000	15.000	15.000	1402067640.78	06/06/14 17:14:00
3.404	2.000	15.000	15.000	1402067640.91	06/06/14 17:14:00
3.542	3.000	15.000	15.000	1402067641.05	06/06/14 17:14:01
3.680	4.000	15.000	15.000	1402067641.19	06/06/14 17:14:01
3.816	5.000	15.000	15.000	1402067641.32	06/06/14 17:14:01
3.954	6.000	15.000	15.000	1402067641.46	06/06/14 17:14:01
4.094	7.000	15.000	15.000	1402067641.6	06/06/14 17:14:01
4.233	8.000	15.000	15.000	1402067641.74	06/06/14 17:14:01
4.371	9.000	15.000	15.000	1402067641.88	06/06/14 17:14:01
4.507	10.000	15.000	15.000	1402067642.02	06/06/14 17:14:02
4.647	11.000	15.000	15.000	1402067642.16	06/06/14 17:14:02
4.786	12.000	15.000	15.000	1402067642.3	06/06/14 17:14:02
4.924	13.000	15.000	15.000	1402067642.43	06/06/14 17:14:02
5.061	14.000	15.000	15.000	1402067642.57	06/06/14 17:14:02
5.199	15.000	15.000	15.000	1402067642.69	06/06/14 17:14:02
8.545	15.000	0.000	15.000	1402067646.05	06/06/14 17:14:06
8.682	15.000	1.000	15.000	1402067646.19	06/06/14 17:14:06
8.818	15.000	2.000	15.000	1402067646.33	06/06/14 17:14:06
8.956	15.000	3.000	15.000	1402067646.46	06/06/14 17:14:06
9.093	15.000	4.000	15.000	1402067646.6	06/06/14 17:14:06
9.233	15.000	5.000	15.000	1402067646.74	06/06/14 17:14:06
9.369	15.000	6.000	15.000	1402067646.88	06/06/14 17:14:06
9.508	15.000	7.000	15.000	1402067647.02	06/06/14 17:14:07
9.647	15.000	8.000	15.000	1402067647.16	06/06/14 17:14:07
9.787	15.000	9.000	15.000	1402067647.29	06/06/14 17:14:07
9.924	15.000	10.000	15.000	1402067647.43	06/06/14 17:14:07
10.062	15.000	11.000	15.000	1402067647.57	06/06/14 17:14:07
10.200	15.000	12.000	15.000	1402067647.71	06/06/14 17:14:07
10.340	15.000	13.000	15.000	1402067647.85	06/06/14 17:14:07
10.478	15.000	14.000	15.000	1402067647.99	06/06/14 17:14:07
10.616	15.000	15.000	15.000	1402067648.1	06/06/14 17:14:08
