############################ Log - Start ############################
# Log initialized at: 06/10/14 16:26:31
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.336	0.000	1402410395.24	06/10/14 16:26:35
3.686	1.000	1402410395.59	06/10/14 16:26:35
4.040	2.000	1402410395.95	06/10/14 16:26:35
4.392	3.000	1402410396.29	06/10/14 16:26:36
4.743	4.000	1402410396.64	06/10/14 16:26:36
5.092	5.000	1402410396.99	06/10/14 16:26:36
5.443	6.000	1402410397.34	06/10/14 16:26:37
5.793	7.000	1402410397.69	06/10/14 16:26:37
6.143	8.000	1402410398.04	06/10/14 16:26:38
6.492	9.000	1402410398.39	06/10/14 16:26:38
6.842	10.000	1402410398.74	06/10/14 16:26:38
7.195	11.000	1402410399.1	06/10/14 16:26:39
7.546	12.000	1402410399.45	06/10/14 16:26:39
7.896	13.000	1402410399.8	06/10/14 16:26:39
8.247	14.000	1402410400.15	06/10/14 16:26:40
8.598	15.000	1402410400.48	06/10/14 16:26:40

# Log finished at: 06/10/14 16:26:40
############################# Log - End #############################
