############################ Log - Start ############################
# Log initialized at: 06/13/14 10:45:46
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.390	0.000	1402649150.44	06/13/14 10:45:50
3.749	1.000	1402649150.8	06/13/14 10:45:50
4.105	2.000	1402649151.16	06/13/14 10:45:51
4.464	3.000	1402649151.51	06/13/14 10:45:51
4.831	4.000	1402649151.88	06/13/14 10:45:51
5.196	5.000	1402649152.25	06/13/14 10:45:52
5.564	6.000	1402649152.62	06/13/14 10:45:52
5.922	7.000	1402649152.98	06/13/14 10:45:52
6.280	8.000	1402649153.33	06/13/14 10:45:53
6.637	9.000	1402649153.69	06/13/14 10:45:53
6.995	10.000	1402649154.05	06/13/14 10:45:54
7.362	11.000	1402649154.41	06/13/14 10:45:54
7.718	12.000	1402649154.77	06/13/14 10:45:54
8.076	13.000	1402649155.13	06/13/14 10:45:55
8.432	14.000	1402649155.48	06/13/14 10:45:55
8.800	15.000	1402649155.83	06/13/14 10:45:55

# Log finished at: 06/13/14 10:45:55
############################# Log - End #############################
