############################ Log - Start ############################
# Log initialized at: 06/10/14 13:24:24
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.332	0.000	1402399468.0	06/10/14 13:24:28
3.687	1.000	1402399468.36	06/10/14 13:24:28
4.044	2.000	1402399468.71	06/10/14 13:24:28
4.401	3.000	1402399469.07	06/10/14 13:24:29
4.671	4.000	1402399469.34	06/10/14 13:24:29
5.026	5.000	1402399469.7	06/10/14 13:24:29
5.382	6.000	1402399470.05	06/10/14 13:24:30
5.739	7.000	1402399470.41	06/10/14 13:24:30
6.094	8.000	1402399470.77	06/10/14 13:24:30
6.450	9.000	1402399471.12	06/10/14 13:24:31
6.718	10.000	1402399471.39	06/10/14 13:24:31
7.064	11.000	1402399471.73	06/10/14 13:24:31
7.409	12.000	1402399472.08	06/10/14 13:24:32
7.755	13.000	1402399472.43	06/10/14 13:24:32
8.103	14.000	1402399472.77	06/10/14 13:24:32
8.455	15.000	1402399473.11	06/10/14 13:24:33

# Log finished at: 06/10/14 13:24:33
############################# Log - End #############################
