############################ Log - Start ############################
# Log initialized at: 06/11/14 14:35:30
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.335	0.000	1402490133.84	06/11/14 14:35:33
3.685	1.000	1402490134.19	06/11/14 14:35:34
4.036	2.000	1402490134.54	06/11/14 14:35:34
4.388	3.000	1402490134.89	06/11/14 14:35:34
4.737	4.000	1402490135.24	06/11/14 14:35:35
5.088	5.000	1402490135.6	06/11/14 14:35:35
5.439	6.000	1402490135.95	06/11/14 14:35:35
5.788	7.000	1402490136.28	06/11/14 14:35:36
6.141	8.000	1402490136.65	06/11/14 14:35:36
6.491	9.000	1402490137.0	06/11/14 14:35:37
6.843	10.000	1402490137.35	06/11/14 14:35:37
7.194	11.000	1402490137.7	06/11/14 14:35:37
7.550	12.000	1402490138.06	06/11/14 14:35:38
7.903	13.000	1402490138.41	06/11/14 14:35:38
8.255	14.000	1402490138.76	06/11/14 14:35:38
8.607	15.000	1402490139.09	06/11/14 14:35:39

# Log finished at: 06/11/14 14:35:39
############################# Log - End #############################
