############################ Log - Start ############################
# Log initialized at: 06/10/14 13:44:36
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.345	0.000	1402400680.1	06/10/14 13:44:40
3.700	1.000	1402400680.45	06/10/14 13:44:40
4.053	2.000	1402400680.8	06/10/14 13:44:40
4.407	3.000	1402400681.16	06/10/14 13:44:41
4.762	4.000	1402400681.52	06/10/14 13:44:41
5.119	5.000	1402400681.87	06/10/14 13:44:41
5.388	6.000	1402400682.14	06/10/14 13:44:42
5.745	7.000	1402400682.49	06/10/14 13:44:42
6.099	8.000	1402400682.85	06/10/14 13:44:42
6.453	9.000	1402400683.21	06/10/14 13:44:43
6.808	10.000	1402400683.56	06/10/14 13:44:43
7.154	11.000	1402400683.91	06/10/14 13:44:43
7.509	12.000	1402400684.26	06/10/14 13:44:44
7.864	13.000	1402400684.61	06/10/14 13:44:44
8.220	14.000	1402400684.97	06/10/14 13:44:44
8.578	15.000	1402400685.31	06/10/14 13:44:45

# Log finished at: 06/10/14 13:44:45
############################# Log - End #############################
