############################ Log - Start ############################
# Log initialized at: 06/06/14 17:12:07
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.391	0.000	1402067530.56	06/06/14 17:12:10
3.757	1.000	1402067530.93	06/06/14 17:12:10
4.115	2.000	1402067531.28	06/06/14 17:12:11
4.467	3.000	1402067531.64	06/06/14 17:12:11
4.825	4.000	1402067531.99	06/06/14 17:12:11
5.182	5.000	1402067532.35	06/06/14 17:12:12
5.535	6.000	1402067532.7	06/06/14 17:12:12
5.891	7.000	1402067533.06	06/06/14 17:12:13
6.245	8.000	1402067533.41	06/06/14 17:12:13
6.597	9.000	1402067533.77	06/06/14 17:12:13
6.961	10.000	1402067534.13	06/06/14 17:12:14
7.314	11.000	1402067534.48	06/06/14 17:12:14
7.668	12.000	1402067534.83	06/06/14 17:12:14
8.021	13.000	1402067535.19	06/06/14 17:12:15
8.377	14.000	1402067535.55	06/06/14 17:12:15
8.730	15.000	1402067535.88	06/06/14 17:12:15

# Log finished at: 06/06/14 17:12:15
############################# Log - End #############################
