############################ Log - Start ############################
# Log initialized at: 09/03/14 11:45:45
# Temperature device: tango://haspp02oh1:10000/p02/eurotherm/exp.01
# Error threshold: 2.000
Time	Real temperature	Average temperature	Setpoint temperature	Timestamp	Datetime
0.000	23.000	23.000	22.000	1409737545.58	09/03/14 11:45:45
1.104	23.100	23.050	26.800	1409737546.62	09/03/14 11:45:46
2.156	23.100	23.075	26.800	1409737547.7	09/03/14 11:45:47
3.244	23.100	23.080	26.800	1409737548.74	09/03/14 11:45:48
4.280	23.000	23.057	26.800	1409737549.84	09/03/14 11:45:49
5.380	24.600	23.278	26.800	1409737550.87	09/03/14 11:45:50
6.416	24.600	23.410	26.800	1409737551.91	09/03/14 11:45:51
7.452	25.200	23.692	26.800	1409737553.02	09/03/14 11:45:53
8.560	25.500	23.936	26.800	1409737554.06	09/03/14 11:45:54
9.598	25.500	24.040	26.800	1409737555.11	09/03/14 11:45:55
10.646	25.500	24.212	26.800	1409737556.17	09/03/14 11:45:56
11.712	25.900	24.368	26.800	1409737557.24	09/03/14 11:45:57
12.784	26.700	24.571	26.800	1409737558.28	09/03/14 11:45:58
13.824	26.900	24.677	26.800	1409737559.34	09/03/14 11:45:59
14.886	27.200	24.883	26.800	1409737560.38	09/03/14 11:46:00
15.922	27.300	25.069	26.800	1409737561.44	09/03/14 11:46:01
16.982	27.100	25.218	26.800	1409737562.48	09/03/14 11:46:02
18.018	27.100	25.283	26.800	1409737563.52	09/03/14 11:46:03
19.058	26.900	25.394	26.800	1409737564.59	09/03/14 11:46:04
20.132	26.900	25.485	26.800	1409737565.63	09/03/14 11:46:05
21.168	26.800	25.524	26.800	1409737566.66	09/03/14 11:46:06
22.204	26.600	25.586	26.800	1409737567.72	09/03/14 11:46:07
23.258	26.500	25.637	26.800	1409737568.79	09/03/14 11:46:08
24.330	26.200	25.670	26.800	1409737569.83	09/03/14 11:46:09
25.366	26.200	25.683	26.800	1409737570.89	09/03/14 11:46:10
26.432	26.100	25.705	26.800	1409737572.05	09/03/14 11:46:12
27.500	26.400	25.727	26.800	1409737573.0	09/03/14 11:46:13
28.536	26.800	25.750	26.800	1409737575.11	09/03/14 11:46:15

# Log finished at: 09/03/14 11:46:15
############################# Log - End #############################
