############################ Log - Start ############################
# Log initialized at: 09/03/14 11:42:05
# Temperature device: tango://haspp02oh1:10000/p02/eurotherm/exp.01
# Error threshold: 2.000
Time	Real temperature	Average temperature	Setpoint temperature	Timestamp	Datetime
0.000	26.200	26.200	25.200	1409737325.51	09/03/14 11:42:05
1.164	26.200	26.200	26.800	1409737326.54	09/03/14 11:42:06
2.200	26.100	26.167	26.800	1409737327.82	09/03/14 11:42:07
3.284	26.000	26.100	26.800	1409737328.69	09/03/14 11:42:08
4.346	25.700	26.000	26.800	1409737329.74	09/03/14 11:42:09
5.402	25.600	25.922	26.800	1409737330.84	09/03/14 11:42:10
6.498	25.600	25.864	26.800	1409737331.89	09/03/14 11:42:11
7.546	25.600	25.842	26.800	1409737332.93	09/03/14 11:42:12
8.588	25.700	25.800	26.800	1409737333.96	09/03/14 11:42:13
9.624	26.100	25.820	26.800	1409737335.02	09/03/14 11:42:15
10.676	26.800	25.912	26.800	1409737336.09	09/03/14 11:42:16
11.754	27.100	26.032	26.800	1409737337.13	09/03/14 11:42:17
12.790	27.200	26.090	26.800	1409737338.21	09/03/14 11:42:18
13.874	27.100	26.182	26.800	1409737339.25	09/03/14 11:42:19
14.910	27.000	26.250	26.800	1409737340.32	09/03/14 11:42:20
15.984	26.900	26.276	26.800	1409737341.41	09/03/14 11:42:21
17.072	26.800	26.319	26.800	1409737342.45	09/03/14 11:42:22
18.108	26.600	26.341	26.800	1409737343.5	09/03/14 11:42:23
19.160	26.500	26.352	26.800	1409737344.54	09/03/14 11:42:24
20.196	26.300	26.350	26.800	1409737345.6	09/03/14 11:42:25
21.264	26.300	26.347	26.800	1409737346.65	09/03/14 11:42:26
22.312	26.000	26.337	26.800	1409737347.7	09/03/14 11:42:27
23.356	26.100	26.319	26.800	1409737348.78	09/03/14 11:42:28
24.438	27.000	26.344	26.800	1409737349.81	09/03/14 11:42:29
25.474	27.400	26.370	26.800	1409737350.88	09/03/14 11:42:30
26.536	27.600	26.429	26.800	1409737351.91	09/03/14 11:42:31
27.572	27.600	26.482	26.800	1409737352.98	09/03/14 11:42:32
28.636	27.500	26.524	26.800	1409737354.05	09/03/14 11:42:34
29.714	27.600	26.547	26.800	1409737355.09	09/03/14 11:42:35
30.750	27.400	26.582	26.800	1409737356.16	09/03/14 11:42:36
31.816	27.200	26.608	26.800	1409737357.22	09/03/14 11:42:37
32.880	27.000	26.615	26.800	1409737358.29	09/03/14 11:42:38
33.950	26.700	26.620	26.800	1409737359.35	09/03/14 11:42:39
35.006	26.500	26.618	26.800	1409737360.38	09/03/14 11:42:40
36.042	26.500	26.616	26.800	1409737361.46	09/03/14 11:42:41
37.122	26.300	26.607	26.800	1409737362.5	09/03/14 11:42:42
38.158	26.200	26.600	26.800	1409737363.54	09/03/14 11:42:43
39.198	26.000	26.597	26.800	1409737364.62	09/03/14 11:42:44
40.280	26.500	26.605	26.800	1409737365.66	09/03/14 11:42:45
41.316	27.000	26.642	26.800	1409737366.7	09/03/14 11:42:46
42.356	27.500	26.698	26.800	1409737367.77	09/03/14 11:42:47
43.426	27.600	26.732	26.800	1409737368.84	09/03/14 11:42:48
44.496	27.700	26.802	26.800	1409737369.93	09/03/14 11:42:49
45.594	27.700	26.875	26.800	1409737370.97	09/03/14 11:42:50
46.631	27.600	26.907	26.800	1409737372.07	09/03/14 11:42:52
47.728	27.300	26.945	26.800	1409737373.1	09/03/14 11:42:53
48.764	27.100	26.953	26.800	1409737374.18	09/03/14 11:42:54
49.836	27.000	26.952	26.800	1409737375.22	09/03/14 11:42:55
50.882	26.800	26.942	26.800	1409737376.26	09/03/14 11:42:56
51.918	26.500	26.925	26.800	1409737377.37	09/03/14 11:42:57
53.028	26.300	26.905	26.800	1409737378.43	09/03/14 11:42:58
54.094	26.300	26.895	26.800	1409737379.55	09/03/14 11:42:59
55.206	26.100	26.875	26.800	1409737380.58	09/03/14 11:43:00
56.242	27.100	26.887	26.800	1409737381.64	09/03/14 11:43:01
57.300	27.600	26.905	26.800	1409737382.68	09/03/14 11:43:02
58.336	27.900	26.953	26.800	1409737383.72	09/03/14 11:43:03
59.382	28.000	27.013	26.800	1409737384.77	09/03/14 11:43:04
60.426	28.000	27.048	26.800	1409737385.81	09/03/14 11:43:05
61.473	27.800	27.098	26.800	1409737386.86	09/03/14 11:43:06
62.520	27.700	27.115	26.800	1409737387.91	09/03/14 11:43:07
63.570	27.600	27.115	26.800	1409737388.95	09/03/14 11:43:08
64.606	27.300	27.107	26.800	1409737389.98	09/03/14 11:43:09
65.642	27.100	27.093	26.800	1409737391.03	09/03/14 11:43:11

# Log finished at: 09/03/14 11:43:11
############################# Log - End #############################
