############################ Log - Start ############################
# Log initialized at: 06/10/14 16:27:31
# motor device
Time	motor/omsvme58_exp/39	Timestamp	Datetime
3.357	0.000	1402410455.25	06/10/14 16:27:35
3.707	1.000	1402410455.6	06/10/14 16:27:35
4.056	2.000	1402410455.95	06/10/14 16:27:35
4.318	3.000	1402410456.22	06/10/14 16:27:36
4.669	4.000	1402410456.57	06/10/14 16:27:36
5.020	5.000	1402410456.92	06/10/14 16:27:36
5.372	6.000	1402410457.27	06/10/14 16:27:37
5.722	7.000	1402410457.62	06/10/14 16:27:37
6.074	8.000	1402410457.97	06/10/14 16:27:37
6.424	9.000	1402410458.32	06/10/14 16:27:38
6.776	10.000	1402410458.67	06/10/14 16:27:38
7.126	11.000	1402410459.02	06/10/14 16:27:39
7.476	12.000	1402410459.37	06/10/14 16:27:39
7.828	13.000	1402410459.72	06/10/14 16:27:39
8.177	14.000	1402410460.07	06/10/14 16:27:40
8.528	15.000	1402410460.41	06/10/14 16:27:40

# Log finished at: 06/10/14 16:27:40
############################# Log - End #############################
